inci_name,cas_no,function,substance
CAPSAICINYL SUCCINOYL TRIPEPTIDE-1,,antioxidant; skin-protecting,capsaicinyl succinoyl tripeptide-1
REHMANNIA GLUTINOSA RHIZOME EXTRACT,,skin-conditioning,rehmannia glutinosa rhizome extract
ACRYLATES/CETETH-20 ITACONATE COPOLYMER,,viscosity-controlling,acrylates/ceteth-20 itaconate copolymer
RICE SH-OLIGOPEPTIDE-2,,humectant; opacifying; skin-conditioning,rice sh-oligopeptide-2
STEARYL ERUCAMIDE,10094-45-8,opacifying; viscosity-controlling,N-Octadecyl-13-docosenamide
PALMITOYL HEXAPEPTIDE-52,,skin-conditioning,palmitoyl hexapeptide-52
ASPERGILLUS/RICE/SOYMILK FERMENT FILTRATE,,skin-conditioning,aspergillus/rice/soymilk ferment filtrate
MACHILUS THUNBERGII SEED OIL,,skin-conditioning,machilus thunbergii seed oil
BUTYLENE GLYCOL MYRISTATE,,emollient; emulsifying; skin-conditioning; surfactant,butylene glycol myristate
STEARYL TRIMETHICONE,167160-55-6,emollient; skin-conditioning,Stearyl trisiloxane
CNICUS JAPONICUS EXTRACT,,skin-conditioning,cnicus japonicus extract
PROPYLENE GLYCOL DILAURATE,22788-19-8,emollient; viscosity-controlling,Propylene Glycol Dilaurate
MONASCUS/PAEONIA SUFFRUTICOSA FLOWER/RICE BRAN FERMENT FILTRATE,,antiseborrhoeic; skin-conditioning,monascus/paeonia suffruticosa flower/rice bran ferment filtrate
C18-38 ALKYL BEESWAX,223706-17-0,emollient; skin-conditioning,c18-38 alkyl beeswax
SH-POLYPEPTIDE-6,,humectant; skin-conditioning,sh-polypeptide-6
10-HYDROXYDECANOIC ACID,1679-53-4,skin-conditioning,10-Hydroxydecanoic Acid
VACCINIUM MACROCARPON SEEDCAKE POWDER,,skin-conditioning,vaccinium macrocarpon seedcake powder
ACACIA CONCINNA FRUIT EXTRACT,202148-87-6,skin-conditioning,acacia concinna fruit extract
NARDOSTACHYS CHINENSIS ROOT EXTRACT,,skin-conditioning,nardostachys chinensis root extract
SH-POLYPEPTIDE-57,,skin-protecting,sh-polypeptide-57
AMMONIUM STYRENE/ACRYLATES/ETHYLHEXYL ACRYLATE/LAURYL ACRYLATE COPOLYMER,,film-forming,ammonium styrene/acrylates/ethylhexyl acrylate/lauryl acrylate copolymer
C1-8 ALKYL TETRAHYDROXYCYCLOHEXANOATE,,skin-conditioning,c1-8 alkyl tetrahydroxycyclohexanoate
PRUNUS CAMPANULATA/YEDOENSIS FLOWER EXTRACT,,skin-conditioning,prunus campanulata/yedoensis flower extract
ISODECYL HYDROXYSTEARATE,29383-27-5,emollient; skin-conditioning,8-Methylnonyl 18-hydroxyoctadecanoate
TOCOPHEROL,54-28-4 -gamma-/ 16698-35-4-beta- / 10191-41-0-DL- / 119-13-1 / 1406-18-4 / 1406-66-2 / 2074-53-5 -DL- / 59-02-9 -D-/7616-22-0,antioxidant; masking; skin-conditioning,tocopherol
HYDROGENATED CASTOR OIL STEARATE,,skin-conditioning; viscosity-controlling,hydrogenated castor oil stearate
LYSOZYME,9001-63-2,skin-conditioning,Rvvrdpqgirawvawrnr
