inci_name,cas_no,function
NELUMBIUM SPECIOSUM FLOWER EXTRACT,85085-51-4,en:skin-conditioning
CETYL ACETATE,629-70-9,"en:emollient, en:masking, en:skin-conditioning"
ISOSTEARAMIDE MEA,54536-43-5,"en:antistatic, en:foam-boosting, en:surfactant, en:viscosity-controlling"
EUPHORBIA JOLKINII EXTRACT,,"en:antimicrobial, en:antioxidant, en:antiseborrhoeic, en:astringent, en:emollient, en:hair-conditioning, en:skin-conditioning"
SODIUM LACTATE METHYLSILANOL,,en:skin-conditioning
CASSIA ANGUSTIFOLIA SEED EXTRACT,85187-05-9,en:skin-conditioning
POLOXAMER 184 CAMELLIA SINENSIS SEEDATE,,"en:emulsifying, en:hair-conditioning, en:skin-conditioning"
DITRIMETHYLOLPROPANE TRIETHYLHEXANOATE,,"en:binding, en:emollient, en:skin-conditioning"
SH-POLYPEPTIDE-54,,en:skin-conditioning
TEUCRIUM CANADENSE FLOWER/LEAF/STEM EXTRACT,,en:skin-conditioning
LAUROLACTAM/POLY(1‚4-BUTANEDIOL)-14/DODECANEDIOIC ACID COPOLYMER,68865-79-2,"en:bulking, en:opacifying"
(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,,"en:humectant, en:skin-conditioning"
GLUCOMANNAN HYDROXYPROPYLTRIMONIUM CHLORIDE,1268336-96-4,"en:antistatic, en:hair-conditioning, en:hair-fixing, en:viscosity-controlling"
OLIGOPEPTIDE-141,,en:skin-conditioning
MENTHA SPICATA LEAF EXTRACT,,en:skin-conditioning
TDI/TRIMELLITIC ANHYDRIDE COPOLYMER,,en:binding
CENTELLA ASIATICA CALLUS EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:humectant, en:skin-protecting"
SOLANUM UNDATUM FRUIT EXTRACT,,en:skin-protecting
ACRYLOYLOXYETHYL PHTHALATE,30697-40-6,"en:film-forming, en:plasticiser"
HYDROXYPROPYLTRIMONIUM HYDROLYZED MILK PROTEIN,,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
PHENOXYETHYL CAPRYLATE,23511-73-1,
AMENTOFLAVONE,1617-53-4,"en:antioxidant, en:bleaching"
ERUCYL ARACHIDATE,,en:emollient
ACETYL TETRAPEPTIDE-17,,en:skin-conditioning
GLYCERYL HYDROGENATED RAPESEEDATE,,"en:emollient, en:emulsifying"
ISOPROPYL-P-CRESOL,4427-56-9,en:perfuming
COCONUT OIL PPG-2-PEG-6 ESTERS,,"en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
METHYL PYRROLIDONE,872-50-4,en:solvent
LOTUS CORNICULATUS FLOWER EXTRACT,84696-24-2,"en:masking, en:skin-protecting"
DENDROBIUM CANDIDUM CALLUS POWDER,,"en:antioxidant, en:humectant, en:skin-conditioning, en:skin-protecting"
SACCHAROMYCES/HYDROLYZED STACHYS AFFINIS TUBER FERMENT FILTRATE,,en:skin-conditioning
EMBELIA RIBES ROOT POWDER,93165-23-2,en:skin-conditioning
REYNOUTRIA SACHALINENSIS SPROUT EXTRACT,,"en:antimicrobial, en:antiplaque, en:astringent, en:masking, en:skin-conditioning, en:skin-protecting"
LIQUIDAMBAR STYRACIFLUA FRUIT EXTRACT,,en:skin-conditioning
ISOSORBIDE,652-67-5,"en:humectant, en:skin-conditioning"
IRIS GERMANICA FLORENTINA ROOT OIL,90045-89-9,en:perfuming
DEXTRIN PALMITATE/STEARATE,,"en:emulsion-stabilising, en:viscosity-controlling"
GUAIACUM SANCTUM GUM EXTRACT,91723-40-9,en:perfuming
ISOSTEARYL PALMITATE,72576-80-8,"en:binding, en:emollient, en:skin-conditioning"
BIOSACCHARIDE GUM-4,905593-86-4,en:skin-conditioning
PEG-50 GLYCERYL ISOSTEARATE,,"en:cleansing, en:emulsifying"
HYDROXYPROPYL BISCETEARYLDIMONIUM CHLORIDE,,"en:antistatic, en:hair-conditioning"
STEARYL HYDROXYETHYL IMIDAZOLINE,95-19-2,"en:antistatic, en:hair-conditioning"
PEG-11 LAURAMIDE,26635-75-6,en:emulsifying
CHITOSAN,9012-76-4,"en:film-forming, en:hair-fixing"
CITROFORTUNELLA MICROCARPA FRUIT JUICE,,en:antioxidant
AMP-ACRYLATES COPOLYMER,,en:film-forming
BIS-HEMA POLYNEOPENTYL GLYCOL ADIPATE/IPDI COPOLYMER,82339-16-0,en:binding
R-(SH-POLYPEPTIDE-102 METHIONYL S-PENTADIPLANDRA BRAZZEANA DEFENSIN-LIKE PROTEIN),,en:skin-protecting
HYSSOPUS OFFICINALIS LEAF OIL,8006-83-5 / 84603-66-7,en:skin-conditioning
BRASSICA OLERACEA ACEPHALA LEAF EXTRACT,,"en:humectant, en:skin-conditioning"
LACTOBACILLUS/PHYLLOSTACHYS PUBESCENS STEM/HONEY FERMENT FILTRATE,,en:skin-conditioning
PHALAENOPSIS AMABILIS FLOWER EXTRACT,,"en:bleaching, en:skin-protecting"
CYTISUS SCOPARIUS FLOWER CERA,84696-48-0,en:skin-conditioning
KLUYVEROMYCES/LACTOBACILLUS/EVENING PRIMROSE FLOWER OIL FERMENT FILTRATE,,"en:antioxidant, en:astringent, en:bleaching, en:hair-conditioning, en:skin-conditioning, en:skin-protecting"
PANAX GINSENG SEED EXTRACT,84650-12-4,en:skin-conditioning
SYNECHOCOCCUS ELONGATUS/ALGAE FERMENT,,en:skin-conditioning
PPG-2/PEG-8 COCOATE,,en:emulsifying
STERCULIA PLATANIFOLIA BRANCH/LEAF EXTRACT,,en:skin-conditioning
EISENIA ARBOREA EXTRACT,,en:skin-conditioning
GLYCINE SOJA PEPTIDE,,"en:film-forming, en:hair-conditioning, en:skin-conditioning"
HYDROLYZED CAMELLIA SINENSIS LEAF EXTRACT,,"en:antioxidant, en:antiseborrhoeic, en:bleaching, en:skin-conditioning"
LAGENARIA SPHAERICA SEED OIL,,en:skin-conditioning
NONAPEPTIDE-35,,en:skin-conditioning
POLYQUATERNIUM-111,67990-40-3,"en:antistatic, en:hair-conditioning"
BUTYROSPERMUM PARKII BUTTER EXTRACT,91080-23-8,en:skin-conditioning
CALCIUM PARABEN,69959-44-0,en:preservative
METHYLHEPTYL LAURATE,,"en:emollient, en:skin-conditioning"
POLYGLYCERYL-3 OLEYL ETHER PHOSPHATE,,"en:emulsifying, en:surfactant"
CERASUS YOUKOU FLOWER POWDER,,en:skin-conditioning
PPG-25 DIETHYLMONIUM CHLORIDE,9042-76-6,en:antistatic
GADI IECUR OIL,8001-69-2,en:emollient
PAEONIA OFFICINALIS FLOWER POWDER,84929-40-8,en:abrasive
ALPINIA INTERMEDIA SEED POWDER,,"en:emollient, en:skin-conditioning"
ASTROCARYUM TUCUMA SEED BUTTER,942505-39-7,"en:emollient, en:skin-conditioning"
C12-15 PARETH-9 PHOSPHATE,,"en:emulsifying, en:surfactant"
ACRYLATES/LAURYL ACRYLATE/STEARYL ACRYLATE/ETHYLAMINE OXIDE METHACRYLATE COPOLYMER,,"en:film-forming, en:hair-fixing"
POLYGLYCERYL-4 PENTASTEARATE,99570-00-0,"en:emollient, en:emulsifying"
LANNEA COROMANDELICA BARK EXTRACT,,en:skin-conditioning
PEG-10 DIOLEATE,9005-07-6,en:emulsifying
SODIUM HYDROGENATED TALLOWATE,,"en:cleansing, en:surfactant"
SODIUM LAURETH-12 SULFATE,9004-82-4,"en:cleansing, en:foaming, en:surfactant"
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-133,,en:skin-conditioning
BENZYLSULFONYL D-SERYL HOMOPHENYLALANINE AMIDINOBENZAMIDE ACETATE,,en:skin-conditioning
COPTIS CHINENSIS ROOT EXTRACT,,en:antioxidant
POLYETHYLENE/POLYETHYLENE TEREPHTHALATE LAMINATED POWDER,,en:cosmetic-colorant
ASPERGILLUS/SOYBEAN SHOOT FERMENT EXTRACT,,en:skin-conditioning
LIGULARIA FISHCERI LEAF EXTRACT,,en:skin-conditioning
IRIS GERMANICA FLORENTINA ROOT EXTRACT,90045-89-9,en:perfuming
PALMITOYL SH-POLYPEPTIDE-109 CHOLESTEROL,,"en:hair-conditioning, en:skin-conditioning"
AKEBIA TRIFOLIATA STEM EXTRACT,,en:skin-conditioning
LACTOBACILLUS/GLYCERIN/HYDROLYZED CASEIN/LACTOSE/CATHARANTHUS ROSEUS SEED/YEAST EXTRACT FERMENT,,en:not-reported
BACILLUS/MONASCUS/PRUNELLA VULGARIS FLOWER/LEAF/SOYBEAN FERMENT FILTRATE,,"en:antiseborrhoeic, en:emollient, en:hair-conditioning, en:skin-conditioning"
ISOPENTYLCYCLOHEXANONE,16587-71-6,"en:masking, en:perfuming"
AMYL CYCLOPENTANONE PROPANONE,40942-73-2,en:perfuming
TRICYCLOPENTADIENE,7158-25-0,en:perfuming
ZANTHOXYLUM AVICENNAE BARK EXTRACT,102242-62-6,en:skin-conditioning
CROTON GLABELLUS BARK OIL,8007-06-5 / 84836-99-7,en:masking
SODIUM LAURETH-40 SULFATE,9004-82-4,en:cleansing
HYDROLYZED DROSERA ROTUNDIFOLIA LEAF,,"en:antioxidant, en:skin-conditioning"
ACETAMIDE MEA,142-26-7,"en:antistatic, en:foam-boosting, en:hair-conditioning, en:humectant, en:skin-conditioning, en:surfactant, en:viscosity-controlling"
MIPA-LAURYL SULFATE,21142-28-9,"en:cleansing, en:surfactant"
AZELAOYL TETRAPEPTIDE-32,,"en:hair-conditioning, en:skin-protecting"
HYDROGENATED JOJOBA OIL,92457-12-0 / 61789-91-1,"en:abrasive, en:emollient, en:skin-conditioning"
CHOLESTERYL OLEYL CARBONATE,17110-51-9,en:skin-conditioning
EUPHORBIA LONGAN FRUIT EXTRACT,,en:skin-conditioning
HYDROLYZED SOY PROTEIN EXTRACT,,en:skin-conditioning
CHRYSANTHEMUM INDICUM FLOWER/LEAF/STEM EXTRACT,,en:antioxidant
BUTYL PHENYLACETATE,122-43-0,en:perfuming
LACTOBACILLUS/MILK FERMENT LYSATE FILTRATE,,"en:hair-conditioning, en:skin-conditioning"
MELISSA OFFICINALIS LEAF OIL,84082-61-1 / 8014-71-9,"en:masking, en:perfuming, en:tonic"
ISODODECANE,31807-55-3 / 93685-81-5 / 13475-82-6,"en:emollient, en:perfuming, en:solvent"
HEXETIDINE,141-94-6,"en:oral-care, en:preservative"
TRIMETHYL-PENTYL-DIOXANE,63449-89-8,en:perfuming
SH-OLIGOPEPTIDE-16,,en:skin-conditioning
GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,,"en:humectant, en:viscosity-controlling"
HYDROGENATED DIMER DILINOLEIC ACID/HEXANEDIOL COPOLYMER,,"en:film-forming, en:hair-conditioning"
Polyquaternium-16,,
CHINESE HAMSTER OVARY CELL CONDITIONED MEDIA,,"en:humectant, en:skin-conditioning, en:skin-protecting"
HYDROLYZED RHODOPHYCEAE EXTRACT,,en:not-reported
BRASSICA OLERACEA CAPITATA SPROUT EXTRACT,,en:skin-conditioning
TRIMETHYLBICYCLO-3-HEPTEN-2-ONE,18309-32-5,en:perfuming
SODIUM PASSIFLORA EDULIS SEEDATE,,"en:cleansing, en:surfactant"
VINCA MINOR LEAF EXTRACT,84012-41-9,en:skin-conditioning
PHOENIX DACTYLIFERA FRUIT POWDER,90027-90-0,en:skin-conditioning
POLOXAMER 231,9003-11-6,"en:emulsifying, en:surfactant"
PPG-14 DIGLYCERYL ETHER,,"en:emulsifying, en:surfactant"
LAURYL DODECENYLSUCCINATE,,en:emulsion-stabilising
DISTEARYLDIMONIUM CHLORIDE,107-64-2,"en:antistatic, en:hair-conditioning"
BUTENDIOL/VINYL ALCOHOL COPOLYMER,917249-64-0,
EUCALYPTUS SMITHII LEAF EXTRACT,91771-68-5,en:perfuming
POMEGRANATE FRUIT PEEL EXTRACT OCTENYLSUCCINATE,,en:antidandruff
OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE,2082-79-3,en:antioxidant
SH-OLIGOPEPTIDE-85,,en:not-reported
PARKIA BIGLOBOSA OLIGOSACCHARIDES,,en:skin-protecting
VIROLA SURINAMENSIS SEED BUTTER,1977518-38-9,"en:emollient, en:skin-conditioning"
POTHOMORPHE UMBELLATA LEAF EXTRACT,,"en:antioxidant, en:astringent, en:skin-protecting"
LAVANDULA ANGUSTIFOLIA HERB OIL,90063-37-9,en:perfuming
ACRYLATES/CARBAMATE COPOLYMER,,"en:hair-conditioning, en:skin-conditioning"
PARAFFIN,8002-74-2; 64742-51-4,"en:perfuming, en:skin-conditioning, en:viscosity-controlling"
PSEUDOZYMA EPICOLA/SOYBEAN FLOUR/APRICOT KERNEL OIL/OLIVE FRUIT OIL/SWEET ALMOND OIL/SUNFLOWER SEED OIL/LITHOSPERMUM ERYTHRORHIZON ROOT FERMENT EXTRACT FILTRATE,,"en:emulsion-stabilising, en:hair-conditioning, en:humectant, en:skin-conditioning, en:skin-protecting"
KEIHI YU,,"en:masking, en:skin-conditioning"
DIMETHYL GLUTAMIC ACID,6312-54-5,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
ALLYL CAPROATE,123-68-2,"en:astringent, en:emollient, en:masking, en:perfuming"
PELARGONIUM CRISPUM STEM EXTRACT,90082-46-5,en:perfuming
ACETYL PENTAPEPTIDE-55 AMIDE,,en:skin-conditioning
MAGNESIUM COCO-SULFATE,,"en:cleansing, en:surfactant"
KASSOU,,en:skin-conditioning
TUSSILAGO FARFARA CALLUS CULTURE EXTRACT,84625-50-3,en:skin-conditioning
AMINOPENTYL GUANINE,,en:not-reported
IPOMOEA HEDERACEA SEED EXTRACT,90045-87-7,en:skin-protecting
DIMETHYLACRYLAMIDE,2680-03-7,en:not-reported
STREPTOMYCES TSUKUBAENSIS EXTRACT,,"en:emollient, en:humectant, en:skin-conditioning, en:skin-protecting"
SOLVENT RED 48,13473-26-2,en:hair-dyeing
HEXAPEPTIDE-62 DIMER,,en:skin-conditioning
VINYL CHLORIDE/VINYL LAURATE COPOLYMER,,en:film-forming
HETEROSIGMA AKASHIWO CELL EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:skin-protecting"
PANTHENYL HYDROXYPROPYL STEARDIMONIUM CHLORIDE,132467-76-6,"en:antistatic, en:hair-conditioning"
PASSIFLORA EDULIS SEED POWDER,91770-48-8 / 97676-26-1,en:abrasive
PEG/PPG-10/65 COPOLYMER,,"en:cleansing, en:solvent, en:surfactant"
POLYGLYCERYL-3 COCOATE,223706-47-6,en:emulsifying
ACHILLEA MILLEFOLIUM FLOWER WATER,84082-83-7,en:masking
PEG-3 SORBITAN TRISTEARATE,,en:emulsifying
TRIISONONANOIN,56554-53-1 / 206354-95-2,"en:skin-conditioning, en:viscosity-controlling"
TRIMETHYLUNDECENAL,141-13-9,en:perfuming
POTASSIUM GLUCOHEPTONATE,23167-96-6,en:skin-conditioning
CITRUS AURANTIUM DULCIS FLOWER WAX,,en:skin-conditioning
SCHIZOPHYLLUM COMMUNE/PANAX GINSENG FERMENT FILTRATE,,en:skin-conditioning
POTASSIUM CELLULOSE SUCCINATE,,"en:opacifying, en:skin-conditioning"
HYDROLYZED SPONGIN,,en:skin-conditioning
GLYCERETH-5 LACTATE,,"en:emollient, en:emulsifying, en:solvent"
BIFIDA FERMENT LYSATE,96507-89-0,en:skin-conditioning
CUPRESSUS NOOTKATENSIS WOOD OIL,1069136-34-0,en:masking
NICOTINAMIDE ADENINE DINUCLEOTIDE,53-84-9,en:skin-conditioning
JUNIPERUS CHINENSIS XYLEM EXTRACT,91722-60-0,en:skin-conditioning
PEG-75 SHEA BUTTER GLYCERIDES,226993-83-5,"en:emulsifying, en:surfactant"
TORREYA GRANDIS FRUIT OIL,,en:skin-conditioning
SR-RAINBOW TROUT OLIGOPEPTIDE-1 SH-OLIGOPEPTIDE-1,,"en:emollient, en:skin-conditioning, en:skin-protecting"
DILINOLEIC ACID/DILINOLEYL ALCOHOL/PROPANEDIOL COPOLYMER,,"en:film-forming, en:plasticiser, en:viscosity-controlling"
ETHYLHEXYL HYDROXYSTEAROYL HYDROXYSTEARATE,,"en:emollient, en:humectant, en:skin-conditioning"
HEXAPEPTIDE-58,,en:skin-conditioning
SWEET ALMOND AMINO ACIDS,,"en:humectant, en:skin-protecting"
BULNESIA SARMIENTOI EXTRACT ACETYLATED,94333-88-7,en:perfuming
DIMETHYL-4-ISOHEPTENAL DIMETHYL ACETAL,67674-46-8,en:perfuming
PHLOX DRUMMONDII SEED EXTRACT,,"en:hair-conditioning, en:nail-conditioning, en:skin-conditioning"
DISPERSE BLUE 377,67674-26-4,en:hair-dyeing
HYDROLYZED JELLYFISH EXTRACT,,"en:humectant, en:skin-conditioning"
HANSENULA/KLOECKERA/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/FIG/LEMON FERMENT,,"en:skin-conditioning, en:skin-protecting"
METSCHNIKOWIA/PANAX GINSENG LEAF/STEM FERMENT FILTRATE,,en:skin-conditioning
HYDROLYZED SISYMBRIUM IRIO SEEDCAKE,92202-26-1,en:skin-protecting
ETHYL GLUTAMATE,1119-33-1,"en:antistatic, en:hair-conditioning, en:skin-conditioning"
HYPERICUM PERFORATUM FLOWER/LEAF/STEM EXTRACT,84082-80-4,en:skin-conditioning
CITRUS JABARA PEEL EXTRACT,,en:skin-conditioning
AMMONIUM ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER,,en:film-forming
PALMITOYL TRIPEPTIDE-28,,en:skin-conditioning
ALNUS JAPONICA BARK EXTRACT,,en:skin-conditioning
ACETYL HEXAPEPTIDE-39,,en:skin-conditioning
OSTRICH EGG YOLK EXTRACT,,"en:antimicrobial, en:emollient, en:skin-conditioning"
CITRUS UNSHIU FRUIT WATER,98106-71-9,"en:hair-conditioning, en:skin-conditioning"
PYRUS CYDONIA FLOWER EXTRACT,90106-03-9,en:skin-conditioning
TRI-C12-13 ALKYL CITRATE,,"en:emollient, en:skin-conditioning"
PHENYLACETALDEHYDE DIETHYL ACETAL,6314-97-2,en:perfuming
CYMBIDIUM GREAT FLOWER LEAF POWDER,,en:hair-conditioning
TRISILOXANEPROPYL GLYCERYL METHACRYLATE,69861-02-5,"en:binding, en:emulsifying, en:film-forming, en:foam-boosting, en:surfactant"
PYRIDOXINE TRIS-HEXYLDECANOATE,,en:humectant
ISODECYL COCOATE,,"en:emollient, en:skin-conditioning"
POLYACRYLATE-46,,en:surfactant
DIBUTYL MALEATE/HEXADECENE/TETRADECENE COPOLYMER,128218-63-3,en:anticaking
ACETYL BENZOYLOXY PRASTERONE,307976-92-7,"en:antioxidant, en:skin-conditioning"
JUGLANS REGIA SEEDCOAT EXTRACT,84012-43-1,en:antioxidant
COPAIFERA RETICULATA BALSAM EXTRACT,8001-61-4,en:perfuming
SACCHAROMYCES/PERSIMMON FRUIT JUICE FERMENT EXTRACT,,en:deodorant
DISODIUM COCOYL BUTYL GLUCETH-10 SULFOSUCCINATE,,"en:cleansing, en:foam-boosting, en:hair-conditioning, en:surfactant"
LINALYL BUTYRATE,78-36-4,en:perfuming
SANTALUM PANICULATUM WOOD OIL,,en:masking
TETRAPEPTIDE-36,,en:skin-conditioning
PERFLUOROISOHEXANE,355-04-4,"en:emollient, en:skin-conditioning"
METHYL SALICYLATE,119-36-8,"en:denaturant, en:perfuming, en:soothing"
LITHIUM/POTASSIUM/TITANIUM OXIDES,217187-88-7,en:bulking
COCETH-8,61791-13-7,"en:emulsifying, en:surfactant"
YOGURT FILTRATE,,"en:hair-conditioning, en:skin-protecting"
C20-24 OLEFIN,93924-10-8,en:skin-conditioning
SORBETH-40 TETRAISOSTEARATE,,"en:emulsifying, en:surfactant"
DIGLYCERETH-7 MALATE,,"en:binding, en:emulsion-stabilising, en:humectant, en:skin-conditioning"
ISOSTEARAMIDE DEA,52794-79-3,"en:antistatic, en:foam-boosting, en:surfactant, en:viscosity-controlling"
OLIGOPEPTIDE-91 SH-POLYPEPTIDE-1,,en:hair-conditioning
TRACHELOSPERMUM ASIATICUM FLOWER/LEAF/STEM EXTRACT,,"en:antioxidant, en:humectant, en:skin-protecting"
LAURALDEHYDE,112-54-9,en:masking
HAMAMELIS VIRGINIANA WATER,84696-19-5,"en:astringent, en:hair-conditioning, en:skin-conditioning, en:soothing"
VACCINIUM MYRTILLUS SEED OIL,84082-34-8,en:skin-conditioning
METHYL ACETYLGLYCYRRHETINOYL HYDROXYPROLINATE,,en:skin-conditioning
FEVILLEA TRILOBATA SEED OIL,,"en:astringent, en:skin-protecting"
LACTOBACILLUS/ROSA CENTIFOLIA FLOWER EXTRACT FERMENT FILTRATE,,en:humectant
UNDECYLENIC GLYCERIDES,65684-27-7 ;93802-96-1 ; 171675-63-1,
SODIUM STEARYL SULFATE,1120-04-3,"en:cleansing, en:emulsifying, en:surfactant"
MYRISTAMIDOPROPYL BETAINE,59272-84-3,"en:antistatic, en:cleansing, en:foam-boosting, en:hair-conditioning, en:skin-conditioning, en:surfactant"
BISABOLENE,495-62-5,en:perfuming
SODIUM PG-PROPYLDIMETHICONE THIOSULFATE COPOLYMER,,"en:film-forming, en:hair-conditioning"
SODIUM ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,,en:film-forming
ADAMANTANYL DIHYDROCAFFEAMIDE,,"en:antioxidant, en:bleaching, en:skin-protecting"
PYRUS CYDONIA SEED EXTRACT,90106-03-9,"en:masking, en:skin-conditioning"
ACER TEGMENTOSUM STEM EXTRACT,,"en:skin-conditioning, en:skin-protecting"
NYLON-66,32131-17-2,"en:bulking, en:opacifying, en:viscosity-controlling"
SPARASSIS LATIFOLIA POWDER,,"en:humectant, en:skin-conditioning"
BACILLUS/LYCIUM CHINENSE FRUIT/REHMANNIA GLUTINOSA ROOT/CUSCUTA CHINENSIS FRUIT/CISTANCHE DESERTICOLA/ZANTHOXYLUM PIPERITUM FRUIT/CHRYSANTHEMUM MORIFOLIUM FRUIT/PORIA COCOS/ CINNAMOMUM CASSIA FERMENT,,en:skin-conditioning
PREGNADIENOL,21321-88-0,"en:masking, en:perfuming"
CROSSLINKED BACILLUS/GLUCOSE/SODIUM GLUTAMATE FERMENT,,"en:emulsion-stabilising, en:hair-fixing, en:humectant, en:skin-conditioning, en:viscosity-controlling"
ECHINACEA ANGUSTIFOLIA MERISTEM CELL CULTURE,84696-11-7,en:skin-conditioning
SORBETH-30 TETRAISOSTEARATE,,"en:emulsifying, en:surfactant"
BACILLUS/LITHOSPERMUM ERYTHRORHIZON ROOT/SOYBEAN FERMENT FILTRATE,,"en:antioxidant, en:emollient, en:hair-conditioning, en:skin-conditioning"
TRANSGENIC RICE RH-OLIGOPEPTIDE-2,,en:skin-conditioning
HYDROLYZED CORNUS WALTERI LEAF EXTRACT,,en:skin-conditioning
RHEUM TANGUTICUM ROOT EXTRACT,,"en:antimicrobial, en:humectant"
SH-POLYPEPTIDE-11 DIPEPTIDE-35 OLIGOPEPTIDE-91 DIPEPTIDE- 19 HEXAPEPTIDE-40,,en:skin-conditioning
NYMPHAEA LOTUS ROOT EXTRACT,91723-04-5,en:astringent
METHYLSILANOL/SILICATE CROSSPOLYMER,68584-81-6,en:skin-conditioning
HYDROLYZED PYRUS MALUS PECTIN EXTRACT,,en:skin-conditioning
TSUGA CANADENSIS LEAF EXTRACT,90045-63-9,en:skin-protecting
HYDROGENATED TRITERPENE MIXTURE,,en:not-reported
EUCOMMIA ULMOIDES PERICARP EXTRACT,223749-00-6,en:skin-conditioning
LENTINUS EDODES/LICORICE ROOT EXTRACT FERMENT FILTRATE,,"en:antioxidant, en:humectant, en:skin-conditioning"
ARTEMISIA HERBA-ALBA FLOWER EXTRACT,84775-75-7,en:skin-conditioning
POLYQUATERNIUM-62,,"en:film-forming, en:hair-fixing"
CORNUS CONTROVERSA WOOD EXTRACT,,en:humectant
ALPINIA SPECIOSA FLOWER/ LEAF/SEED/ STEM EXTRACT,,"en:antioxidant, en:preservative"
CETEARETH-5 PHOSPHATE,106233-09-4,"en:cleansing, en:surfactant"
ANACARDIUM OCCIDENTALE SEED OIL,8007-24-7,en:skin-conditioning
TRITICUM VULGARE GLUTEN,93384-22-6,"en:binding, en:hair-conditioning, en:humectant, en:skin-conditioning"
TRI-C12-15 PARETH-8 PHOSPHATE,,"en:cleansing, en:emulsifying, en:surfactant"
PEG/PPG-18/4 COPOLYMER,9003-11-6 -generic-,en:solvent
PALMITOYL HEXAPEPTIDE-12,171263-26-6,en:skin-conditioning
HEXANEDIOL DISALICYLATE,,"en:skin-conditioning, en:uv-absorber"
CARBOXYLESTERASE,9016-18-6,en:antiplaque
DISODIUM DECETH-6 SULFOSUCCINATE,68630-97-7,"en:cleansing, en:foam-boosting, en:hydrotrope, en:surfactant"
METHIONYL SH-POLYPEPTIDE-7 DIPEPTIDE-19 SR-SPIDER POLYPEPTIDE-4 HEXAPEPTIDE 40,,"en:emollient, en:skin-conditioning, en:skin-protecting"
LINSEED OIL ASCORBATE ESTERS,8001-26-1,"en:antioxidant, en:skin-conditioning, en:skin-protecting"
CYCNOCHES COOPERI EXTRACT,,"en:antioxidant, en:emollient"
SAFFLOWER SEED OIL POLYGLYCERYL-4 ESTERS,,"en:cleansing, en:emollient, en:emulsifying, en:skin-conditioning, en:surfactant"
HEPTANOL,111-70-6,en:perfuming
POTASSIUM OLIVOYL HYDROLYZED OAT PROTEIN,,"en:cleansing, en:hair-conditioning, en:skin-conditioning, en:surfactant"
OTOGIRISOU EKISU,,en:skin-conditioning
SORBITYL ACETATE,39346-74-2,en:emulsifying
CLEOME GYNANDRA LEAF EXTRACT,,en:antiseborrhoeic
PAEONIA ROCKII SEED OIL,,"en:emollient, en:skin-conditioning"
KOJIC DIPALMITATE,79725-98-7,en:emollient
BIS-PEG/PPG-15/5 DIMETHICONE,,"en:emulsion-stabilising, en:humectant"
ALBIZIA JULIBRISSIN FLOWER EXTRACT,,en:skin-conditioning
VACCINIUM ANGUSTIFOLIUM SEED,,en:abrasive
FICUS CARICA FRUIT POWDER,90028-74-3,en:skin-conditioning
2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID,15214-89-8,en:not-reported
HYDROLYZED WOOL CUTICLE PROTEIN,,"en:hair-conditioning, en:skin-conditioning"
CHAMOMILLA RECUTITA FLOWER/LEAF/STEM WATER,84082-60-0,"en:masking, en:perfuming"
RESEDA LUTEOLA FLOWER/LEAF/STEM EXTRACT,90106-16-4,en:skin-conditioning
SILENE VELUTINA EXTRACT,,en:skin-conditioning
TETRAMETHYLPYRAZINE,1124-11-4,en:perfuming
2‚6,432-25-7,en:perfuming
PROPYL ACETATE,109-60-4,"en:perfuming, en:solvent"
PPG-33-BUTETH-45,9038-95-3 / 9065-63-8,"en:hair-conditioning, en:skin-conditioning"
ROSE KETONE-3,57378-68-4,en:perfuming
BENZYL BENZOATE,120-51-4,"en:antimicrobial, en:perfuming, en:solvent"
MOMORDICA CHARANTIA LEAF POWDER,,en:abrasive
PARFUM,,"en:deodorant, en:masking, en:perfuming"
HYDROLYZED OYSTER EXTRACT,,en:skin-conditioning
DECETH-8,26183-52-8,"en:emulsifying, en:surfactant"
ASPERGILLUS/SOYBEAN SEED FERMENT FILTRATE,,"en:humectant, en:skin-conditioning"
ROSA WICHURAIANA STEM EXTRACT,,"en:antioxidant, en:astringent, en:emollient, en:hair-conditioning"
SINORHIZOBIUM MELILOTI FERMENT FILTRATE,,en:skin-conditioning
CETYL-PG HYDROXYETHYL PALMITAMIDE,110483-07-3,en:skin-conditioning
CITRONELLYL PHENYLACETATE,139-70-8,en:perfuming
COPPER PALMITOYL HEPTAPEPTIDE-14,,en:skin-conditioning
