inci_name,cas_no,function
1‚5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE,7779-23-9,en:perfuming
PALMITOYL OLIGOPEPTIDE-70,,"en:emollient, en:nail-conditioning, en:skin-conditioning"
BERTHOLLETIA EXCELSA SEED POWDER,,en:abrasive
PENTASODIUM PENTETATE,140-01-2,en:chelating
CASTANEA CRENATA CUPULE EXTRACT,,"en:antioxidant, en:emollient, en:skin-conditioning, en:skin-protecting"
BIS-CAPRYLOYLOXYPALMITAMIDO ISOPROPANOL,1883454-19-0,"en:emollient, en:skin-conditioning, en:skin-protecting"
PEG-15 GLYCERYL TRIOLEATE,68958-64-5,"en:emollient, en:emulsifying"
LINALOOL,78-70-6,"en:deodorant, en:perfuming"
3-ASCORBYL CARBONYL DIPEPTIDE-17,,en:skin-conditioning
CAPSICUM FRUTESCENS RESIN,8023-77-6,"en:cleansing, en:masking, en:tonic"
SCHINZIOPHYTON RAUTANENII KERNEL OIL,,en:emollient
CHAETOMORPHA SOLITARIA CALLUS CULTURE EXTRACT,,"en:antimicrobial, en:antioxidant, en:hair-conditioning, en:skin-protecting"
TETRACARBOXYMETHYL PALMITOYL DIPEPTIDE-12,1894171-14-2,en:skin-conditioning
METHOXY PEG-100,9004-74-4,"en:humectant, en:solvent"
CETETH-5,9004-95-9 / 4478-97-1,"en:emulsifying, en:surfactant"
RUBUS CHAMAEMORUS FRUIT EXTRACT,,en:antioxidant
TRIPEPTIDE-62,,"en:antioxidant, en:antiplaque, en:oral-care, en:skin-protecting"
CENTIPEDA CUNNINGHAMII LEAF/STEM EXTRACT,,"en:antioxidant, en:antiseborrhoeic, en:skin-protecting"
PYROLIGNEOUS ACIDS EXTRACTS,8028-47-5,en:perfuming
HYDROGEN DIPHENYL DIMETHICONE,68037-60-5,"en:binding, en:emulsion-stabilising, en:plasticiser"
HYDROXYETHOXY AMINOPYRAZOLOPYRIDINE HCL,1079221-49-0,en:hair-dyeing
TRIDECETH-6,24938-91-8 / 69011-36-5,"en:emulsifying, en:surfactant"
STEAPYRIUM CHLORIDE,14492-68-3 / 1341-08-8,"en:antimicrobial, en:antistatic"
CITRUS LIMON FRUIT OIL,8008-56-8,"en:astringent, en:tonic"
BIS-HYDROXYLAURYL DIMETHICONE/IPDI COPOLYMER,,"en:binding, en:film-forming, en:humectant, en:skin-conditioning, en:viscosity-controlling"
CAPSAICINYL SUCCINOYL TRIPEPTIDE-1,,"en:antioxidant, en:skin-protecting"
CERAMIDE 4,,"en:hair-conditioning, en:skin-conditioning"
POLYGLYCERYL-3 ISOSTEARATE,127512-63-4,en:emulsifying
MENTHA PIPERITA AMERICAN EXTRACT/HYDROGEN SULFIDE,94334-25-5,en:perfuming
POTASSIUM LAURETH-3 CARBOXYLATE,,en:surfactant
PEG-25 PHYTOSTANOL,,en:emulsifying
MICROCOCCUS/HYDROLYZED NONFAT MILK FERMENT,,en:deodorant
REHMANNIA GLUTINOSA RHIZOME EXTRACT,,en:skin-conditioning
LINALYL ACETATE,115-95-7,en:masking
MEROXAPOL 178,9003-11-6,"en:cleansing, en:emulsifying, en:surfactant"
NITROFURAZONE,59-87-0,en:antimicrobial
