inci_name,cas_no,function,substance
Bis-Capryloyloxypalmitamido Isopropanol,1883454-19-0,emollient; skin-conditioning; skin-protecting,bis-capryloyloxypalmitamido isopropanol
Peg-15 Glyceryl Trioleate,68958-64-5,emollient; emulsifying,"1-[2,3-Bis(2-oxopropoxy)propoxy]propan-2-one"
3-Ascorbyl Carbonyl Dipeptide-17,,skin-conditioning,3-ascorbyl carbonyl dipeptide-17
Schinziophyton Rautanenii Kernel Oil,,emollient,schinziophyton rautanenii kernel oil
Tetracarboxymethyl Palmitoyl Dipeptide-12,1894171-14-2,skin-conditioning,tetracarboxymethyl palmitoyl dipeptide-12
Methoxy Peg-100,9004-74-4,humectant; solvent,2-Methoxyethanol
Tripeptide-62,,antioxidant; antiplaque; oral-care; skin-protecting,tripeptide-62
Centipeda Cunninghamii Leafstem Extract,,antioxidant; antiseborrhoeic; skin-protecting,centipeda cunninghamii leaf/stem extract
Bis-Hydroxylauryl Dimethiconeipdi Copolymer,,binding; film-forming; humectant; skin-conditioning; viscosity-controlling,bis-hydroxylauryl dimethicone/ipdi copolymer
Capsaicinyl Succinoyl Tripeptide-1,,antioxidant; skin-protecting,capsaicinyl succinoyl tripeptide-1
Rehmannia Glutinosa Rhizome Extract,,skin-conditioning,rehmannia glutinosa rhizome extract
Rice Sh-Oligopeptide-2,,humectant; opacifying; skin-conditioning,rice sh-oligopeptide-2
Palmitoyl Hexapeptide-52,,skin-conditioning,palmitoyl hexapeptide-52
Aspergillusricesoymilk Ferment Filtrate,,skin-conditioning,aspergillus/rice/soymilk ferment filtrate
Machilus Thunbergii Seed Oil,,skin-conditioning,machilus thunbergii seed oil
Butylene Glycol Myristate,,emollient; emulsifying; skin-conditioning; surfactant,butylene glycol myristate
Stearyl Trimethicone,167160-55-6,emollient; skin-conditioning,Stearyl trisiloxane
Cnicus Japonicus Extract,,skin-conditioning,cnicus japonicus extract
Propylene Glycol Dilaurate,22788-19-8,emollient; viscosity-controlling,Propylene Glycol Dilaurate
Monascuspaeonia Suffruticosa Flowerrice Bran Ferment Filtrate,,antiseborrhoeic; skin-conditioning,monascus/paeonia suffruticosa flower/rice bran ferment filtrate
C18-38 Alkyl Beeswax,223706-17-0,emollient; skin-conditioning,c18-38 alkyl beeswax
Sh-Polypeptide-6,,humectant; skin-conditioning,sh-polypeptide-6
10-Hydroxydecanoic Acid,1679-53-4,skin-conditioning,10-Hydroxydecanoic Acid
Vaccinium Macrocarpon Seedcake Powder,,skin-conditioning,vaccinium macrocarpon seedcake powder
Acacia Concinna Fruit Extract,202148-87-6,skin-conditioning,acacia concinna fruit extract
Nardostachys Chinensis Root Extract,,skin-conditioning,nardostachys chinensis root extract
Sh-Polypeptide-57,,skin-protecting,sh-polypeptide-57
C1-8 Alkyl Tetrahydroxycyclohexanoate,,skin-conditioning,c1-8 alkyl tetrahydroxycyclohexanoate
Prunus Campanulatayedoensis Flower Extract,,skin-conditioning,prunus campanulata/yedoensis flower extract
Isodecyl Hydroxystearate,29383-27-5,emollient; skin-conditioning,8-Methylnonyl 18-hydroxyoctadecanoate
Tocopherol,54-28-4 -gamma-/ 16698-35-4-beta- / 10191-41-0-DL- / 119-13-1 / 1406-18-4 / 1406-66-2 / 2074-53-5 -DL- / 59-02-9 -D-/7616-22-0,antioxidant; masking; skin-conditioning,tocopherol
Hydrogenated Castor Oil Stearate,,skin-conditioning; viscosity-controlling,hydrogenated castor oil stearate
Lysozyme,9001-63-2,skin-conditioning,Rvvrdpqgirawvawrnr
Bacillusmonascusplukenetia Volubilis Seedrice Bran Ferment Filtrate,,antimicrobial; antioxidant; skin-protecting,bacillus/monascus/plukenetia volubilis seed/rice bran ferment filtrate
Pentaisostearoyl 3-Glyceryl Ascorbate,,antioxidant; humectant; skin-conditioning,pentaisostearoyl 3-glyceryl ascorbate
Tetrapeptide-58,,skin-conditioning,tetrapeptide-58
